AccountStatus,Months,CreditHistory,Purpose,Amount,Savings,Employment,InstallmentRate,Sex,Status,Other,ResidenceSince,Property,Age,InstallmentPlans,Housing,CreditsHere,Job,LiablePeople,Telephone,ForeignWorker,Risk
No account,9.0,Some paid back,Car (new),2507.0,500 - 1000 DM,>= 7 years,2.0,Male,Single,None,4.0,Unknown/None,51.0,None,For free,1.0,Unskilled resident,1.0,None,Yes,Good
>= 200 DM / salary >1yr,30.0,Critical,Radio/television,3017.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,47.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,18.0,Critical,Furniture/equipment,1295.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,1.0,Bldg. society savings / Life insurance,27.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,48.0,Some paid back,Radio/television,3979.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,1.0,Car or other,41.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
No account,24.0,Critical,Radio/television,2872.0,100 - 500 DM,>= 7 years,3.0,Male,Single,None,4.0,Real estate,36.0,None,Own,1.0,Employee,2.0,Registered,Yes,Good
No account,33.0,Past delays,Business,2764.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,None,2.0,Car or other,26.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
< 0 DM,36.0,Critical,Furniture/equipment,2348.0,< 100 DM,1 - 4 years,3.0,Male,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,46.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,18.0,Past delays,Radio/television,2320.0,< 100 DM,Unemployed,2.0,Male,Married/Separated/Widowed,None,3.0,Real estate,34.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,60.0,Some paid back,Car (new),6527.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,4.0,Unknown/None,34.0,None,For free,1.0,Employee,2.0,Registered,Yes,Good
0 - 200 DM,8.0,Some paid back,Business,907.0,< 100 DM,< 1 year,3.0,Male,Married/Separated/Widowed,None,2.0,Real estate,26.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,36.0,Past delays,Car (new),2862.0,100 - 500 DM,>= 7 years,4.0,Male,Single,None,3.0,Unknown/None,30.0,None,For free,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Critical,Radio/television,717.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Real estate,52.0,None,Own,3.0,Employee,1.0,None,Yes,Good
0 - 200 DM,7.0,Some paid back,Radio/television,2415.0,< 100 DM,1 - 4 years,3.0,Male,Single,Guarantor,2.0,Real estate,34.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,15.0,Some paid back,Education,1905.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,40.0,None,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,18.0,Critical,Furniture/equipment,3780.0,< 100 DM,< 1 year,3.0,Male,Married/Separated/Widowed,None,2.0,Car or other,35.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,15.0,Critical,Education,1532.0,100 - 500 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,3.0,Car or other,31.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,15.0,Some paid back,Radio/television,1444.0,Unknown/None,< 1 year,4.0,Male,Single,None,1.0,Bldg. society savings / Life insurance,23.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,24.0,Some paid back,Car (used),2910.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,1.0,Unknown/None,34.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,11.0,Critical,Car (new),1393.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,4.0,Car or other,35.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,None,Yes,Good
0 - 200 DM,6.0,Past delays,Business,1449.0,100 - 500 DM,>= 7 years,1.0,Male,Married/Separated/Widowed,None,2.0,Car or other,31.0,Bank,Own,2.0,Employee,2.0,None,Yes,Good
No account,15.0,Some paid back,Car (new),5324.0,500 - 1000 DM,>= 7 years,1.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,35.0,None,For free,1.0,Employee,1.0,None,Yes,Good
< 0 DM,24.0,All paid back,Car (used),3632.0,< 100 DM,1 - 4 years,1.0,Female,Married/Separated/Widowed,Guarantor,4.0,Car or other,22.0,Bank,Rent,1.0,Employee,1.0,None,No,Good
No account,24.0,Critical,Car (used),5804.0,>= 1000 DM,1 - 4 years,4.0,Male,Single,None,2.0,Real estate,27.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,10.0,Some paid back,Car (new),7308.0,< 100 DM,Unemployed,2.0,Male,Single,None,4.0,Unknown/None,70.0,Bank,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,12.0,Some paid back,Education,1393.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,47.0,Bank,Own,3.0,Employee,2.0,Registered,Yes,Good
No account,24.0,Some paid back,Radio/television,1552.0,< 100 DM,4 - 7 years,3.0,Male,Single,None,1.0,Car or other,32.0,Bank,Own,1.0,Employee,2.0,None,Yes,Good
>= 200 DM / salary >1yr,24.0,Some paid back,Radio/television,1258.0,500 - 1000 DM,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,3.0,Car or other,57.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Car (new),3195.0,Unknown/None,1 - 4 years,1.0,Female,Married/Separated/Widowed,None,2.0,Real estate,33.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,6.0,No history,Radio/television,426.0,< 100 DM,>= 7 years,4.0,Male,Married/Separated/Widowed,None,4.0,Car or other,39.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,12.0,Critical,Furniture/equipment,1592.0,>= 1000 DM,4 - 7 years,3.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,35.0,None,Own,1.0,Employee,1.0,None,No,Good
No account,14.0,Past delays,Car (new),802.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Car or other,27.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Critical,Radio/television,1851.0,< 100 DM,4 - 7 years,4.0,Male,Married/Separated/Widowed,Guarantor,2.0,Car or other,33.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,21.0,Some paid back,Business,1572.0,>= 1000 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Real estate,36.0,Bank,Own,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,10.0,Critical,Furniture/equipment,2132.0,Unknown/None,< 1 year,2.0,Female,Married/Separated/Widowed,Co-applicant,3.0,Real estate,27.0,None,Rent,2.0,Employee,1.0,None,No,Good
No account,6.0,Some paid back,Radio/television,1595.0,< 100 DM,4 - 7 years,3.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,51.0,None,Own,1.0,Employee,2.0,None,Yes,Good
< 0 DM,15.0,Some paid back,Furniture/equipment,1845.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,Guarantor,1.0,Bldg. society savings / Life insurance,46.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
< 0 DM,8.0,Critical,Other,1164.0,< 100 DM,>= 7 years,3.0,Male,Single,None,4.0,Unknown/None,51.0,Bank,For free,2.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
< 0 DM,11.0,Critical,Car (new),3939.0,< 100 DM,1 - 4 years,1.0,Male,Single,None,2.0,Real estate,40.0,None,Own,2.0,Unskilled resident,2.0,None,Yes,Good
No account,12.0,Critical,Furniture/equipment,1258.0,< 100 DM,< 1 year,2.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,22.0,None,Rent,2.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,7.0,Some paid back,Radio/television,2576.0,< 100 DM,1 - 4 years,2.0,Male,Single,Guarantor,2.0,Real estate,35.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,6.0,Some paid back,Retraining,1238.0,Unknown/None,Unemployed,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,36.0,None,Own,1.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
< 0 DM,12.0,Some paid back,Car (new),1893.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,Guarantor,4.0,Bldg. society savings / Life insurance,29.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,18.0,Some paid back,Business,1568.0,100 - 500 DM,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,24.0,None,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
No account,9.0,Critical,Education,1244.0,Unknown/None,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,41.0,None,Rent,2.0,Unskilled resident,1.0,None,Yes,Good
No account,10.0,Some paid back,Radio/television,1924.0,< 100 DM,1 - 4 years,1.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,38.0,None,Own,1.0,Employee,1.0,Registered,No,Good
< 0 DM,24.0,Some paid back,Furniture/equipment,7721.0,Unknown/None,< 1 year,1.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,30.0,None,Own,1.0,Employee,1.0,Registered,No,Good
0 - 200 DM,12.0,Critical,Car (used),1860.0,< 100 DM,Unemployed,4.0,Male,Single,None,2.0,Car or other,34.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,6.0,Some paid back,Car (used),1236.0,500 - 1000 DM,1 - 4 years,2.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,50.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
< 0 DM,10.0,Critical,Car (new),2241.0,< 100 DM,< 1 year,1.0,Male,Single,None,3.0,Real estate,48.0,None,Rent,2.0,Unskilled resident,2.0,None,No,Good
No account,18.0,Some paid back,Radio/television,1453.0,< 100 DM,< 1 year,3.0,Female,Married/Separated/Widowed,None,1.0,Real estate,26.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,30.0,No history,Business,8072.0,Unknown/None,< 1 year,2.0,Male,Single,None,3.0,Car or other,25.0,Bank,Own,3.0,Employee,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Business,1391.0,< 100 DM,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,1.0,Real estate,27.0,Bank,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,4.0,Critical,Radio/television,1544.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,1.0,Real estate,42.0,None,Own,3.0,Unskilled resident,2.0,None,Yes,Good
No account,6.0,Past delays,Business,1743.0,100 - 500 DM,1 - 4 years,1.0,Male,Single,None,2.0,Real estate,34.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Past delays,Business,3863.0,< 100 DM,1 - 4 years,1.0,Male,Single,None,2.0,Unknown/None,32.0,None,For free,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,9.0,Critical,Radio/television,1154.0,< 100 DM,>= 7 years,2.0,Male,Single,None,4.0,Real estate,37.0,None,Own,3.0,Unskilled resident,1.0,None,Yes,Good
No account,21.0,Some paid back,Car (used),2476.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Real estate,46.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,12.0,Some paid back,Car (used),1413.0,>= 1000 DM,4 - 7 years,3.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,55.0,None,Own,1.0,Employee,1.0,None,No,Good
0 - 200 DM,12.0,Some paid back,Radio/television,1103.0,< 100 DM,4 - 7 years,4.0,Male,Single,Guarantor,3.0,Real estate,29.0,None,Own,2.0,Employee,1.0,None,No,Good
No account,48.0,Critical,Education,6110.0,< 100 DM,1 - 4 years,1.0,Male,Single,None,3.0,Unknown/None,31.0,Bank,For free,1.0,Employee,1.0,Registered,Yes,Good
No account,36.0,Past delays,Car (new),10875.0,< 100 DM,>= 7 years,2.0,Male,Single,None,2.0,Car or other,45.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
< 0 DM,6.0,Critical,Car (new),860.0,< 100 DM,>= 7 years,1.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,39.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,30.0,Critical,Car (new),2181.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Real estate,36.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,18.0,Critical,Furniture/equipment,1817.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,2.0,Unknown/None,28.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Some paid back,Car (new),1318.0,>= 1000 DM,>= 7 years,4.0,Male,Single,None,4.0,Real estate,54.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
< 0 DM,6.0,Some paid back,Car (new),662.0,< 100 DM,< 1 year,3.0,Male,Single,None,4.0,Real estate,41.0,None,Own,1.0,Unskilled resident,2.0,Registered,Yes,Good
< 0 DM,24.0,All paid back,Furniture/equipment,2483.0,500 - 1000 DM,1 - 4 years,4.0,Male,Single,None,4.0,Real estate,22.0,Stores,Own,1.0,Employee,1.0,Registered,Yes,Good
< 0 DM,12.0,Some paid back,Furniture/equipment,1620.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,Co-applicant,3.0,Bldg. society savings / Life insurance,30.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Critical,Education,2096.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,3.0,Real estate,49.0,None,Own,1.0,Unskilled resident,2.0,None,Yes,Good
No account,15.0,Critical,Furniture/equipment,1520.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,63.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,36.0,Some paid back,Car (new),3079.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,4.0,Real estate,36.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,27.0,Some paid back,Business,2528.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,1.0,Bldg. society savings / Life insurance,32.0,None,Own,1.0,Employee,2.0,Registered,Yes,Good
No account,5.0,Some paid back,Business,3448.0,< 100 DM,4 - 7 years,1.0,Male,Single,None,4.0,Real estate,74.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Critical,Radio/television,5103.0,< 100 DM,< 1 year,3.0,Male,Married/Separated/Widowed,None,3.0,Unknown/None,47.0,None,For free,3.0,Employee,1.0,Registered,Yes,Good
No account,12.0,Some paid back,Radio/television,2171.0,< 100 DM,< 1 year,2.0,Female,Married/Separated/Widowed,None,2.0,Car or other,29.0,Bank,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Past delays,Radio/television,585.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,Co-applicant,4.0,Real estate,20.0,None,Rent,2.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Car (used),3868.0,< 100 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,41.0,None,Rent,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,12.0,Some paid back,Furniture/equipment,1262.0,Unknown/None,>= 7 years,2.0,Male,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,49.0,None,Own,1.0,Unskilled resident,1.0,Registered,Yes,Good
0 - 200 DM,24.0,Critical,Business,1935.0,< 100 DM,>= 7 years,4.0,Male,Married/Separated/Widowed,None,4.0,Real estate,31.0,None,Own,2.0,Employee,1.0,Registered,Yes,Bad
0 - 200 DM,12.0,Some paid back,Radio/television,1484.0,Unknown/None,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,1.0,Real estate,25.0,None,Own,1.0,Employee,1.0,Registered,Yes,Bad
< 0 DM,24.0,Some paid back,Radio/television,1823.0,< 100 DM,Unemployed,4.0,Male,Single,None,2.0,Car or other,30.0,Stores,Own,1.0,Mgmt / Self-employed / other,2.0,None,Yes,Bad
0 - 200 DM,30.0,Some paid back,Furniture/equipment,3441.0,100 - 500 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,Co-applicant,4.0,Car or other,21.0,None,Rent,1.0,Employee,1.0,None,Yes,Bad
< 0 DM,48.0,No history,Car (used),4605.0,< 100 DM,>= 7 years,3.0,Male,Single,None,4.0,Unknown/None,24.0,None,For free,2.0,Employee,2.0,None,Yes,Bad
< 0 DM,12.0,Some paid back,Furniture/equipment,1282.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,None,4.0,Car or other,20.0,None,Rent,1.0,Employee,1.0,None,Yes,Bad
< 0 DM,24.0,All paid back,Radio/television,1546.0,< 100 DM,4 - 7 years,4.0,Male,Single,Guarantor,4.0,Car or other,24.0,Bank,Rent,1.0,Unskilled resident,1.0,None,Yes,Bad
< 0 DM,36.0,Critical,Education,8065.0,< 100 DM,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,2.0,Unknown/None,25.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
0 - 200 DM,18.0,Some paid back,Car (used),12976.0,< 100 DM,Unemployed,3.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,38.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
0 - 200 DM,60.0,Some paid back,Car (new),7408.0,100 - 500 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,24.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,None,Yes,Bad
< 0 DM,30.0,Some paid back,Furniture/equipment,3108.0,< 100 DM,< 1 year,2.0,Male,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,31.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Bad
0 - 200 DM,36.0,Some paid back,Car (used),9398.0,< 100 DM,< 1 year,1.0,Male,Married/Separated/Widowed,None,4.0,Car or other,28.0,None,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
0 - 200 DM,12.0,Some paid back,Car (new),836.0,100 - 500 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,23.0,Bank,Own,1.0,Unskilled resident,1.0,None,Yes,Bad
< 0 DM,18.0,Some paid back,Radio/television,2600.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,4.0,Unknown/None,65.0,None,For free,2.0,Employee,1.0,None,Yes,Bad
No account,21.0,Critical,Car (new),12680.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,30.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
< 0 DM,36.0,Past delays,Education,6887.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,29.0,Stores,Own,1.0,Employee,1.0,Registered,Yes,Bad
0 - 200 DM,9.0,All paid back,Car (used),5129.0,< 100 DM,>= 7 years,2.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,74.0,Bank,For free,1.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Bad
< 0 DM,24.0,Some paid back,Car (new),915.0,Unknown/None,>= 7 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,29.0,Bank,Own,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,6.0,Some paid back,Car (new),14555.0,Unknown/None,Unemployed,1.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,23.0,None,Own,1.0,Unemployed/unskilled non-resident,1.0,Registered,Yes,Bad
< 0 DM,24.0,Some paid back,Furniture/equipment,2359.0,100 - 500 DM,Unemployed,1.0,Male,Married/Separated/Widowed,None,1.0,Bldg. society savings / Life insurance,33.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
< 0 DM,42.0,Some paid back,Radio/television,7174.0,Unknown/None,4 - 7 years,4.0,Female,Married/Separated/Widowed,None,3.0,Car or other,30.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
< 0 DM,12.0,Some paid back,Car (new),1274.0,< 100 DM,< 1 year,3.0,Female,Married/Separated/Widowed,None,1.0,Real estate,37.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Bad
No account,24.0,Some paid back,Radio/television,5943.0,Unknown/None,< 1 year,1.0,Female,Married/Separated/Widowed,None,1.0,Car or other,44.0,None,Own,2.0,Employee,1.0,Registered,Yes,Bad
< 0 DM,18.0,Critical,Repairs,1190.0,< 100 DM,Unemployed,2.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,55.0,None,For free,3.0,Unemployed/unskilled non-resident,2.0,None,Yes,Bad
< 0 DM,24.0,Some paid back,Radio/television,1282.0,100 - 500 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,32.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Bad
0 - 200 DM,8.0,Some paid back,Furniture/equipment,1237.0,< 100 DM,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,4.0,Real estate,24.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,18.0,No history,Car (new),2278.0,100 - 500 DM,< 1 year,3.0,Female,Married/Separated/Widowed,None,3.0,Car or other,28.0,None,Own,2.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,36.0,Past delays,Car (new),2225.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,57.0,Bank,For free,2.0,Employee,1.0,Registered,Yes,Bad
< 0 DM,24.0,Some paid back,Car (new),1371.0,Unknown/None,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,4.0,Real estate,25.0,None,Rent,1.0,Employee,1.0,None,Yes,Bad
< 0 DM,12.0,Some paid back,Car (new),1372.0,< 100 DM,4 - 7 years,2.0,Male,Married/Separated/Widowed,None,3.0,Car or other,36.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,24.0,Some paid back,Car (new),2718.0,< 100 DM,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,20.0,None,Rent,1.0,Unskilled resident,1.0,Registered,Yes,Bad
0 - 200 DM,9.0,Some paid back,Radio/television,1670.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,22.0,None,Own,1.0,Employee,1.0,Registered,Yes,Bad
0 - 200 DM,30.0,Critical,Furniture/equipment,8386.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,49.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,9.0,Critical,Education,1136.0,>= 1000 DM,>= 7 years,4.0,Male,Single,None,3.0,Unknown/None,32.0,None,For free,2.0,Employee,2.0,None,Yes,Bad
< 0 DM,18.0,Some paid back,Radio/television,3190.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,None,2.0,Real estate,24.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
< 0 DM,18.0,Some paid back,Furniture/equipment,1131.0,< 100 DM,Unemployed,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,33.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
< 0 DM,24.0,Some paid back,Radio/television,1987.0,< 100 DM,1 - 4 years,2.0,Male,Single,None,4.0,Real estate,21.0,None,Rent,1.0,Unskilled resident,2.0,None,Yes,Bad
< 0 DM,6.0,All paid back,Education,1198.0,< 100 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,35.0,None,For free,1.0,Employee,1.0,None,Yes,Bad
No account,36.0,Some paid back,Furniture/equipment,3349.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,28.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
0 - 200 DM,24.0,Some paid back,Car (new),1355.0,< 100 DM,< 1 year,3.0,Female,Married/Separated/Widowed,None,4.0,Car or other,25.0,None,Own,1.0,Unskilled resident,1.0,Registered,Yes,Bad
< 0 DM,48.0,Some paid back,Domestic appliances,3051.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,4.0,Car or other,54.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,48.0,Some paid back,Car (new),6560.0,100 - 500 DM,4 - 7 years,3.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,24.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
No account,36.0,Some paid back,Furniture/equipment,10974.0,< 100 DM,Unemployed,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,26.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
< 0 DM,36.0,All paid back,Furniture/equipment,2746.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,31.0,Bank,Own,1.0,Employee,1.0,None,Yes,Bad
No account,24.0,Past delays,Car (new),2538.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,47.0,None,Own,2.0,Unskilled resident,2.0,None,Yes,Bad
0 - 200 DM,18.0,Critical,Car (new),884.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,36.0,Bank,Own,1.0,Employee,2.0,Registered,Yes,Bad
0 - 200 DM,24.0,Some paid back,Car (used),4113.0,500 - 1000 DM,< 1 year,3.0,Female,Married/Separated/Widowed,None,4.0,Car or other,28.0,None,Rent,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,36.0,Past delays,Business,4455.0,< 100 DM,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,2.0,Real estate,30.0,Stores,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Bad
0 - 200 DM,24.0,Critical,Furniture/equipment,4736.0,< 100 DM,< 1 year,2.0,Female,Married/Separated/Widowed,None,4.0,Car or other,25.0,Bank,Own,1.0,Unskilled resident,1.0,None,Yes,Bad
>= 200 DM / salary >1yr,10.0,Some paid back,Car (new),1240.0,100 - 500 DM,>= 7 years,1.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,48.0,None,For free,1.0,Unskilled resident,2.0,None,Yes,Bad
< 0 DM,12.0,Critical,Car (new),4843.0,< 100 DM,>= 7 years,3.0,Male,Single,Co-applicant,4.0,Bldg. society savings / Life insurance,43.0,None,Rent,2.0,Employee,1.0,Registered,Yes,Bad
0 - 200 DM,36.0,Some paid back,Education,12612.0,100 - 500 DM,1 - 4 years,1.0,Male,Single,None,4.0,Unknown/None,47.0,None,For free,1.0,Employee,2.0,Registered,Yes,Bad
< 0 DM,36.0,Some paid back,Car (used),8229.0,< 100 DM,1 - 4 years,2.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,26.0,None,Own,1.0,Employee,2.0,None,Yes,Bad
No account,12.0,Some paid back,Car (new),1386.0,500 - 1000 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,26.0,None,Own,1.0,Employee,1.0,None,Yes,Bad
0 - 200 DM,18.0,Critical,Furniture/equipment,1928.0,< 100 DM,< 1 year,2.0,Male,Single,None,2.0,Real estate,31.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Bad
